geneDel	chromo	chromoPretty	pheno
YBR005W	2	B / II	8.2509340916783
YBR006W	2	B / II	6.9652850200259
YBR007C	2	B / II	9.29160492510265
YBR008C	2	B / II	9.22551089133518
YBR009C	2	B / II	8.86944246223503
YBR010W	2	B / II	8.15948228179759
YBR011C	2	B / II	9.07888441620988
YBR012C	2	B / II	8.0196713105496
YBR013C	2	B / II	8.8708302912114
YBR014C	2	B / II	5.98859973423782
YBR015C	2	B / II	8.91326260121936
YBR016W	2	B / II	6.21396775165722
YBR017C	2	B / II	9.45066750655716
YBR018C	2	B / II	7.88475582900538
YBR019C	2	B / II	8.56792238397804
YBR021W	2	B / II	9.44826936693594
YBR022W	2	B / II	10.2559187222312
YBR023C	2	B / II	7.83544032111414
YBR024W	2	B / II	8.9050330996831
YBR025C	2	B / II	9.14645738230033
YBR026C	2	B / II	6.64365263318459
YBR027C	2	B / II	9.00307741309018
YBR028C	2	B / II	8.63671176262945
YBR029C	2	B / II	8.35940933403188
YBR030W	2	B / II	9.25738659959246
YBR031W	2	B / II	9.46660581314729
YBR032W	2	B / II	9.53520191145762
YBR033W	2	B / II	9.03592711805407
YBR034C	2	B / II	9.23934832448323
YBR035C	2	B / II	5.9591085904859
YBR036C	2	B / II	8.00968759125979
YBR037C	2	B / II	9.19062735226252
YBR038W	2	B / II	6.07877172774081
YBR039W	2	B / II	6.78669200925722
YBR040W	2	B / II	8.44319850019743
YBR041W	2	B / II	6.25198240243483
YBR042C	2	B / II	8.69065320227605
YBR043C	2	B / II	9.26297890963902
YBR044C	2	B / II	9.5515269296932
YBR045C	2	B / II	9.40738033364663
YBR046C	2	B / II	9.58060538965453
YBR047W	2	B / II	6.67889988019407
YBR048W	2	B / II	9.47603618773671
YBR049C	2	B / II	7.184133887215
YBR050C	2	B / II	8.72104353343527
YBR051W	2	B / II	6.82775416869843
YBR052C	2	B / II	6.10606189172819
YBR053C	2	B / II	9.68034415252262
YBR054W	2	B / II	6.64404127317244
YBR055C	2	B / II	8.21164246449148
YBR056W	2	B / II	9.73140942404362
YBR057C	2	B / II	6.97320208011872
YBR058C	2	B / II	9.38775722622593
YBR059C	2	B / II	6.12401630455908
YBR060C	2	B / II	7.05802991873888
YBR061C	2	B / II	9.66712712857568
YBR062C	2	B / II	9.46104941338226
YBR063C	2	B / II	9.20345560047298
YBR064W	2	B / II	9.22052792083288
YBR065C	2	B / II	9.85664264567778
YBR066C	2	B / II	9.24865893215054
YBR067C	2	B / II	9.01420890862835
YBR068C	2	B / II	9.8451242334273
YBR069C	2	B / II	9.81151921815266
YBR070C	2	B / II	8.9488709312656
YBR071W	2	B / II	8.98388852293245
YBR072W	2	B / II	9.94450092571538
YBR073W	2	B / II	8.69915006385684
YBR074W	2	B / II	10.0863695628476
YBR076W	2	B / II	8.8534333364756
YBR077C	2	B / II	9.5737343556281
YBR078W	2	B / II	6.34897927565125
YBR079C	2	B / II	9.88092158200454
YBR081C	2	B / II	8.22168659846322
YBR082C	2	B / II	10.0888694096910
YBR084W	2	B / II	9.7412007579233
YBR085W	2	B / II	9.89186404476826
YBR086C	2	B / II	8.64328113383741
YBR087W	2	B / II	8.56517755984093
YBR089W	2	B / II	9.79913444214642
YBR090C-A	2	B / II	10.247145699406
YBR091C	2	B / II	8.85704209220368
YBR092C	2	B / II	9.4593044912182
YBR093C	2	B / II	10.1876411903136
YBR094W	2	B / II	8.38441888446774
YBR095C	2	B / II	9.79080972325272
YBR096W	2	B / II	10.3293039577581
YBR097W	2	B / II	6.8380527016046
YBR098W	2	B / II	9.76610587902034
YBR099C	2	B / II	10.271966282516
YBR100W	2	B / II	10.3983884860803
YBR101C	2	B / II	6.26012166064463
YBR102C	2	B / II	6.15148270051361
YBR103W	2	B / II	6.40326258287492
YBR104W	2	B / II	9.81014376606394
YBR105C	2	B / II	6.29442066436471
YBR106W	2	B / II	10.0948419813220
YBR107C	2	B / II	10.3786165284026
YBR108W	2	B / II	6.13119686913671
YBR109C	2	B / II	9.06501166984298
