Transaction,Items
0403027365,80010103 - Compressed Air Regulators
0403027365,80016299 - Compressed Air PVC/Plastic Parts general/others
0403027365,80905008 - Global/unspecific Electro Cables
0403027365,80905012 - Global/unspecific Electro Drives/Motors/Pump/Van/V
0403027365,81010121 - Melksysteme - DairyProQ - M-Line
0403027365,81048099 - Milk Handling Fixing/Fitting Parts general/others
0403027365,81056199 - Cleaning Rubber general/others
0403027365,83010299 - Milk Outlet Equipment
0403027493,10019898 - Milking Parlour Frames diverse attachment parts
0403035461,85900002 - Parts for Automatic feeding free stall
0403035461,"85900003 - Parts for Feeding mixing, storage and transport eq"
0403035603,10010499 - Parallel Parlours other versions
0403040969,50500601 - Support posts
0403040969,50609503 - Concrete-in parts manure mixers
0403040969,"85020101 - Bolts,nuts,washers,screws,wire-brackets etc."
0403040970,50100102 - Cubicles on floor
0403040970,50100401 - Tubes hot-dipped galvanized
0403040970,50100602 - Knee barriers
0403040970,50200201 - Stall matresses
0403040970,50200202 - Topcovers
0403040970,50200301 - Mounting strips
0403040970,50209999 - Cow Comfort (other)
0403040970,"85020101 - Bolts,nuts,washers,screws,wire-brackets etc."
0403040970,85020102 - Wire Brackets
0403040970,85020201 - T-clamps
0403040970,85020203 - Bow tube clamps
0403040970,85020204 - Bow brackets
0403040970,85020299 - Clamps (other)
0403040970,85109999 - Parts for Cubical Divisions (other)
0403040970,85209999 - Parts for Cow Comfort
0403040970,95110101 - Sticker / Warning Labels / Signs Milking Systems
0403040972,50700101 - Lumitherm II
0403040972,50700108 - Windbarrier- / Birdnets
0403040972,50800102 - Cow brushes electrical
0403040976,50100401 - Tubes hot-dipped galvanized
0403040976,50500301 - One-way doors
0403040976,50500302 - Sliding gates
0403040976,50500303 - Single pipe barriers
0403040976,50500601 - Support posts
0403040976,50600299 - Manure scrapers (other)
0403040976,"85020101 - Bolts,nuts,washers,screws,wire-brackets etc."
0403040976,85020201 - T-clamps
0403040976,85020202 - Cross Clamps
0403040976,85020204 - Bow brackets
0403040976,85020299 - Clamps (other)
0403040976,85500203 - Parts for movable fences
0403040976,85500299 - Parts for cow partitioning (other)
0403040976,85509999 - Parts for Cow Routing and Selction
0403040977,50300101 - Selflocking feedfences largestock
0403040977,50400101 - Drinking reservoirs stainless
0403040977,85300101 - Parts for Selflocking feedfences largestock
0403040977,85309999 - Parts for Feeding
0403048231,82065101 - Feeding Eproms Software
0403048296,81088099 - Milk Control Units Fixing/Fitting general/others
0403049403,10010503 - Mione
0403049403,30049999 -  Cooling Tanks Accessories others
0403049403,40010201 - Fluid Acid CIP Detergent
0403049403,40010501 - Fluid Special CIP Products
0403049403,40020205 - Fluid Acid Manual Foam Detergent
0403049403,40030203 - Iodine Barrier Teat Dips
0403049403,40030302 - CMT Fluid
0403049403,40050101 - Fluid Hand Soap
0403049403,40999999 - Global/unspecific others
0403049403,70010206 - Dosing & Measuring
0403049403,70040201 - Working Clothes
0403049403,71021099 - Filter Sleeves / Cotton Discs other
0403049403,71024099 - Brushes / Basins other
0403049403,71025099 - Milking Accessories other
0403049403,80010106 - Compressed Air Compressors
0403049403,80906201 - Global/unspecific Parts PVC Hoses
0403049403,81019999 - Milking System general/others
0403049403,82030101 - ID Tags/Labels Collars and Accessories
0403049406,10010503 - Mione
0403049406,10010899 - Milking Parlour Accessories others
0403049406,10019898 - Milking Parlour Frames diverse attachment parts
0403049406,10030101 - Oil Vane Style Pump
0403049406,10030501 - Vacuum Tanks
0403049406,10030699 - Frequency Converter Vacuum Pumps
0403049406,10030703 - Vacuum Regulators (servo-controlled)
0403049406,10030801 - Vacuum Pipes Plastic
0403049406,10030804 - Vacuum Distribution System Accessories
0403049406,10031001 - Vacuum Technology diverse attachment parts
0403049406,10040403 - Milk Pipe Stainless Steel Inch
0403049406,10040503 - Accessories Milk Lines Stainless Steel inch
0403049406,10999999 - Global/unspecific others
0403049406,20010501 - Dairyplan-CDs
0403049406,20020299 - Electronic Hardware DPNET
0403049406,20070102 - Selection AMS for Cows
0403049406,80015099 - Compressed Air Electro general/general/others
0403049406,80905007 - Global/unspecific Electronic Parts Installation Ma
0403049406,80906102 - Global/unspecific Rubber O-Rings
0403049406,81010108 - Leonardo Installations
0403049406,81010109 - Milking System - AMS Multibox
0403049406,81019999 - Milking System general/others
0403049406,81036199 - Vacuum Technology Rubber general/others
0403049406,81038099 - Vacuum Technology Fitting/Fixing Parts general/oth
0403049406,81039999 - Vacuum Technology general/others
0403049406,81048099 - Milk Handling Fixing/Fitting Parts general/others
0403049406,95010101 - Tools
0403050779,20060102 - Free Stall Feeders Cows
0403050779,40010201 - Fluid Acid CIP Detergent
0403050779,40010501 - Fluid Special CIP Products
0403050779,40020205 - Fluid Acid Manual Foam Detergent
0403050779,40030302 - CMT Fluid
0403050779,40050101 - Fluid Hand Soap
0403050779,70010206 - Dosing & Measuring
0403050779,70040201 - Working Clothes
0403050779,71021099 - Filter Sleeves / Cotton Discs other
0403050779,71024099 - Brushes / Basins other
0403050779,80010106 - Compressed Air Compressors
0403051131,30010113 - VCool 20000
0403058579,85020201 - T-clamps
0403062060,81085101 - Milk Control Units
0403062370,20010202 - Process Control Milking
0403071124,40030203 - Iodine Barrier Teat Dips
0403071525,80908002 - Global/unspecific Brackets / Plates / Flat Steels 
0403071525,83999999 - Cooling Parts general/others
0403089216,82050103 - Milking Management Metering Box / Valves
0403089255,30010108 - Tcool Ø 1785
0403089255,30060399 - Hot water tanks
0403089255,83999999 - Cooling Parts general/others
0403094552,"85900003 - Parts for Feeding mixing, storage and transport eq"
0403098043,81010109 - Milking System - AMS Multibox
0403098159,10010899 - Milking Parlour Accessories others
0403098159,10019898 - Milking Parlour Frames diverse attachment parts
0403098159,10030101 - Oil Vane Style Pump
0403098159,10030501 - Vacuum Tanks
0403098159,10030699 - Frequency Converter Vacuum Pumps
0403098159,10030703 - Vacuum Regulators (servo-controlled)
0403098159,10030801 - Vacuum Pipes Plastic
0403098159,10030804 - Vacuum Distribution System Accessories
0403098159,"10040102 - Milk Receiver Pump, Stainless Steel"
0403098159,10040104 - Milk Receiver diverse attachment parts
0403098159,10040201 - Milk Filter
0403098159,10040401 - Milk Pipe Plastic
0403098159,10040402 - Pipe Stainless Steel metric
0403098159,10040502 - Accessories Milk Lines Stainless Steel  metric
0403098159,10040503 - Accessories Milk Lines Stainless Steel inch
0403098159,10050102 - Through System Washers
0403098159,10050106 - Air Injector
0403098159,10050201 - CIP Units for Cows
0403098159,10060101 - Pulsators (electric) with Stimulation
0403098159,10069998 - Pulsation diverse attachement parts
0403098159,10080106 - Milking Control Units DeMax for Milking Parlours w
0403098159,10080301 - Tack-Off Cylinder
0403098159,10091101 - IQ
0403098159,10999999 - Global/unspecific others
0403098159,20010501 - Dairyplan-CDs
0403098159,20020199 - Elektronik hardware VC3
0403098159,20020299 - Electronic Hardware DPNET
0403098159,20020499 - Electronic Hardware other versions
0403098159,"20040101 - Parlour ID for Cows Herringbone Parlours, ATD and "
0403098159,20050102 - Milking Control Units with or without Milk Meterin
0403098159,20050104 - Milk Metering with accessories
0403098159,20050106 - Milk Samplers
0403098159,20060101 - In Parlour Feeding for Cows
0403098159,30050102 - PK Plate Cooler
0403098159,80905008 - Global/unspecific Electro Cables
0403098159,80906102 - Global/unspecific Rubber O-Rings
0403098159,80906199 - global/unspececific Rubber Parts others
0403098159,80908002 - Global/unspecific Brackets / Plates / Flat Steels 
0403098159,81010108 - Leonardo Installations
0403098159,81039999 - Vacuum Technology general/others
0403098159,81046199 - Milk Handling Rubber general/others
0403098159,81048001 - Milk Handling Fixing/Fitting Milk Line Connection
0403098159,81048099 - Milk Handling Fixing/Fitting Parts general/others
0403098159,81055099 - Cleaning Electro general/others
0403098159,81096002 - Clusters Silicone long Milk Tubes
0403098159,81096101 - Clusters Rubber Liners
0403098159,81096105 - Clusters Rubber short Vacuum Tubes
0403098159,81096203 - Clusters PVC long Vacuum Tubes
0403098159,82048099 - Parlour ID Attachment Parts
0403098159,82055001 - Milking Management Automatic Change Over Milking/C
0403098159,95010101 - Tools
0403098272,81010109 - Milking System - AMS Multibox
0403098272,83999999 - Cooling Parts general/others
0403100552,40010201 - Fluid Acid CIP Detergent
0403100552,70020203 - Drinking trough and bottles
0403100552,70899999 - other aftermarket supplies
0403100805,82025199 - Network Electronics Electronic Hardware others
0403103180,50100101 - Floating cubicles
0403103912,81060105 - Pulsation Pneumatic
0403106502,40010501 - Fluid Special CIP Products
0403106972,10999999 - Global/unspecific others
0403107320,10010503 - Mione
0403107320,10010899 - Milking Parlour Accessories others
0403107320,10030801 - Vacuum Pipes Plastic
0403107320,10030804 - Vacuum Distribution System Accessories
0403107320,10040403 - Milk Pipe Stainless Steel Inch
0403107320,10040503 - Accessories Milk Lines Stainless Steel inch
0403107320,10999999 - Global/unspecific others
0403107320,20010501 - Dairyplan-CDs
0403107320,20020299 - Electronic Hardware DPNET
0403107320,20020499 - Electronic Hardware other versions
0403107320,"20040101 - Parlour ID for Cows Herringbone Parlours, ATD and "
0403107320,20040302 - UHF 433 MHz Identification System
0403107320,20060102 - Free Stall Feeders Cows
0403107320,20070101 - Parlour Selection for Cows
0403107320,20070102 - Selection AMS for Cows
0403107320,30050102 - PK Plate Cooler
0403107320,30050699 - Robot Buffer Tanks
0403107320,50600299 - Manure scrapers (other)
0403107320,80905008 - Global/unspecific Electro Cables
0403107320,80906201 - Global/unspecific Parts PVC Hoses
0403107320,80908002 - Global/unspecific Brackets / Plates / Flat Steels 
0403107320,81010108 - Leonardo Installations
0403107320,81010109 - Milking System - AMS Multibox
0403107320,81019999 - Milking System general/others
0403107320,81036199 - Vacuum Technology Rubber general/others
0403107320,81038099 - Vacuum Technology Fitting/Fixing Parts general/oth
0403107320,83010299 - Milk Outlet Equipment
0403107320,83999999 - Cooling Parts general/others
0403107320,95010101 - Tools
0403108309,10030804 - Vacuum Distribution System Accessories
0403108309,10040502 - Accessories Milk Lines Stainless Steel  metric
0403108309,20060102 - Free Stall Feeders Cows
0403108309,40010501 - Fluid Special CIP Products
0403108309,80908002 - Global/unspecific Brackets / Plates / Flat Steels 
0403108309,81096103 - Clusters Rubber short Milk Tubes
0403113913,10010504 - DairyProQ M-Line
0403113913,30019999 - Cooling Tanks other versions
0403117627,"85900003 - Parts for Feeding mixing, storage and transport eq"
0403120226,50500601 - Support posts
0403122619,40999999 - Global/unspecific others
0403125323,82065199 - Feeding Electronic Parts others
0403128090,50500601 - Support posts
0403129017,10010503 - Mione
0403129313,20030101 - Identification (Responder) complete
0403129416,82068001 - Feeding Attachment Parts for Cows in Parlours/Rota
0403129416,82068002 - Feeding Attachment Parts Boxes for Cows in Stanchi
0403130240,10040502 - Accessories Milk Lines Stainless Steel  metric
0403130240,80020110 - Service Kits Herd Management
0403130240,82030102 - ID Tags/Labels Leg Bands and Accessories
0403133705,80905001 - Global/unspecific Electro Relays
0403133705,80908001 - Global/unspecific Screws / Nuts / Washers / Rivets
0403133705,82065101 - Feeding Eproms Software
0403133830,30060399 - Hot water tanks
0403133830,83069999 - Heat Recovery / Hot Water Tanks
0403133830,83999999 - Cooling Parts general/others
0403134673,50500302 - Sliding gates
0403134673,"85020101 - Bolts,nuts,washers,screws,wire-brackets etc."
0403134673,85500299 - Parts for cow partitioning (other)
0403134673,85509999 - Parts for Cow Routing and Selction
0403135102,50500601 - Support posts
0403135102,80908002 - Global/unspecific Brackets / Plates / Flat Steels 
0403135102,81010109 - Milking System - AMS Multibox
0403135102,81096002 - Clusters Silicone long Milk Tubes
0403135115,10010503 - Mione
0403135163,30010113 - VCool 20000
0403135940,80015099 - Compressed Air Electro general/general/others
0403135940,80020110 - Service Kits Herd Management
0403135940,82050103 - Milking Management Metering Box / Valves
0403137628,30010108 - Tcool Ø 1785
0403138469,81096103 - Clusters Rubber short Milk Tubes
0403138469,81096105 - Clusters Rubber short Vacuum Tubes
0403140114,81096099 - Clusters Silicon Parts general/others
0403141603,81096203 - Clusters PVC long Vacuum Tubes
0403142736,10010503 - Mione
0403142739,30010116 - VCool 35000
0403145070,50400301 - Float valves
0403146347,50020101 - Manure Scraper Wire
0403146347,50600102 - Rope drive-units
0403146347,50600199 - Manure-scraper and drive-systems (other)
0403146347,85010102 -  Spare Parts Farm equipment
0403146347,"85020101 - Bolts,nuts,washers,screws,wire-brackets etc."
0403146347,85600101 - Parts for Cable drive-units
0403146347,85600102 - Parts for Rope drive-units
0403146347,85600108 - Parts for ropes/chains/cable
0403146375,81096110 - Clusters Rubber Gaskets/O-Rings
0403146623,10040403 - Milk Pipe Stainless Steel Inch
0403146623,70010202 - Dip- & Spray Accessories
0403146623,71025099 - Milking Accessories other
0403146623,80905002 - Global/unspecific Electro Switch/Control Element/S
0403146623,80905008 - Global/unspecific Electro Cables
0403146623,80908001 - Global/unspecific Screws / Nuts / Washers / Rivets
0403146623,80908002 - Global/unspecific Brackets / Plates / Flat Steels 
0403146623,81038099 - Vacuum Technology Fitting/Fixing Parts general/oth
0403146623,81045004 - Milk Handling Milk Pumps
0403146623,81046101 - Milk Handling Rubber O-Rings
0403146623,81096002 - Clusters Silicone long Milk Tubes
0403146623,81096203 - Clusters PVC long Vacuum Tubes
0403150741,10010503 - Mione
0403151602,10010503 - Mione
0403151602,81019999 - Milking System general/others
0403151602,82030101 - ID Tags/Labels Collars and Accessories
0403151837,71026099 - Milking Aprons and Gloves other
0403152054,10030804 - Vacuum Distribution System Accessories
0403152054,10040402 - Pipe Stainless Steel metric
0403152054,10040502 - Accessories Milk Lines Stainless Steel  metric
0403152054,20020299 - Electronic Hardware DPNET
0403152054,20030201 - Activity Sensor
0403152054,40010501 - Fluid Special CIP Products
0403152054,50100401 - Tubes hot-dipped galvanized
0403152054,80908001 - Global/unspecific Screws / Nuts / Washers / Rivets
0403152054,80908002 - Global/unspecific Brackets / Plates / Flat Steels 
0403152054,81046199 - Milk Handling Rubber general/others
0403152054,82030101 - ID Tags/Labels Collars and Accessories
0403152054,82050103 - Milking Management Metering Box / Valves
0403152798,10010805 - Milking Parlour Gate (without DPNet)
0403152798,10010898 - Milking Parlour Accessories
0403152798,10019898 - Milking Parlour Frames diverse attachment parts
0403152798,10030101 - Oil Vane Style Pump
0403152798,10030501 - Vacuum Tanks
0403152798,10030699 - Frequency Converter Vacuum Pumps
0403152798,10030703 - Vacuum Regulators (servo-controlled)
0403152798,10030801 - Vacuum Pipes Plastic
0403152798,10030804 - Vacuum Distribution System Accessories
0403152798,"10040102 - Milk Receiver Pump, Stainless Steel"
0403152798,10040105 - Milk Receiver  Vessel and Traps
0403152798,10040201 - Milk Filter
0403152798,10040402 - Pipe Stainless Steel metric
0403152798,10040404 - Milk Line Packages
0403152798,10040502 - Accessories Milk Lines Stainless Steel  metric
0403152798,10040503 - Accessories Milk Lines Stainless Steel inch
0403152798,10050102 - Through System Washers
0403152798,10050106 - Air Injector
0403152798,10050203 - CIP Units for Goats
0403152798,10060102 - Pulsators (electric) without Stimulation
0403152798,10060401 - Central Pulsation (Control)
0403152798,10069998 - Pulsation diverse attachement parts
0403152798,10080106 - Milking Control Units DeMax for Milking Parlours w
0403152798,10080201 - Milk Flow Indicator
0403152798,10080401 - Time controled detacher
0403152798,10090302 - Milking Units for Goats Low Line
0403152798,10999999 - Global/unspecific others
0403152798,20020299 - Electronic Hardware DPNET
0403152798,80905005 - Global/unspecific Electro Terminal Blocks/Connecto
0403152798,80905008 - Global/unspecific Electro Cables
0403152798,80906101 - Global/unspecific Rubber Gaskets
0403152798,80906199 - global/unspececific Rubber Parts others
0403152798,80906299 - Global/unspecific Plastic Parts others
0403152798,80908001 - Global/unspecific Screws / Nuts / Washers / Rivets
0403152798,80908099 - Global/unspecific Fixings/Fittings others
0403152798,81010108 - Leonardo Installations
0403152798,81019999 - Milking System general/others
0403152798,81039999 - Vacuum Technology general/others
0403152798,81046199 - Milk Handling Rubber general/others
0403152798,81049999 - Milk Handling general/others
0403152798,81059999 - Cleaning general/others
0403152798,81060105 - Pulsation Pneumatic
0403152798,81069999 - Pulsation general/others
0403152798,81080101 - Milk Control Units Cylinder
0403152798,81085001 - Milk Control Units Control Valves
0403152798,81096102 - Clusters Rubber long Milk Tubes
0403152798,81096104 - Clusters Rubber long Vacuum Tubes
0403152798,81099999 - Clusters general/others
0403152798,95010101 - Tools
0403154449,20010501 - Dairyplan-CDs
0403154449,20020101 - PC Plug-In Cards VC3
0403154449,20060102 - Free Stall Feeders Cows
0403154449,80905008 - Global/unspecific Electro Cables
0403154449,82025101 - Network Electronics VC3-Network
0403155517,80020106 - Service Kits Pulsation
0403155636,81010109 - Milking System - AMS Multibox
0403157928,82065199 - Feeding Electronic Parts others
0403157960,40010201 - Fluid Acid CIP Detergent
0403157960,40030302 - CMT Fluid
0403157960,70010103 - Milk Filters
0403157960,71025099 - Milking Accessories other
0403157960,81096101 - Clusters Rubber Liners
0403159345,81096101 - Clusters Rubber Liners
0403159730,81096101 - Clusters Rubber Liners
0403160319,10010503 - Mione
0403163856,20060102 - Free Stall Feeders Cows
0403163856,82068001 - Feeding Attachment Parts for Cows in Parlours/Rota
0403163971,10019898 - Milking Parlour Frames diverse attachment parts
0403163971,10030804 - Vacuum Distribution System Accessories
0403163971,10040402 - Pipe Stainless Steel metric
0403163971,10040502 - Accessories Milk Lines Stainless Steel  metric
0403163971,"10080299 - Kick-Off Sensor complete (VisoFlow, METATRON MB) o"
0403163971,10999999 - Global/unspecific others
0403163971,50100401 - Tubes hot-dipped galvanized
0403163971,71021099 - Filter Sleeves / Cotton Discs other
0403163971,80905002 - Global/unspecific Electro Switch/Control Element/S
0403163971,80906199 - global/unspececific Rubber Parts others
0403163971,80906299 - Global/unspecific Plastic Parts others
0403163971,80908001 - Global/unspecific Screws / Nuts / Washers / Rivets
0403163971,80908002 - Global/unspecific Brackets / Plates / Flat Steels 
0403163971,81030106 - Vacuum Technology RPS Pump Parts general
0403163971,81039999 - Vacuum Technology general/others
0403163971,81040102 - Milk Handling Draining Devices
0403163971,81046199 - Milk Handling Rubber general/others
0403163971,81080101 - Milk Control Units Cylinder
0403163971,81090101 - Clusters Claws
0403163971,81096101 - Clusters Rubber Liners
0403163971,81096102 - Clusters Rubber long Milk Tubes
0403163971,82056199 - Milking Management Rubber general/others
0403163971,82059999 - Milking Management general/others
0403164675,81010101 - Milking System - Traditional
0403164700,50750204 - Partition gates with verticle bars
0403164700,85509999 - Parts for Cow Routing and Selction
0403165732,20050102 - Milking Control Units with or without Milk Meterin
0403168341,10010801 - Milking Parlour Raceway
0403168341,10010898 - Milking Parlour Accessories
0403168341,10010899 - Milking Parlour Accessories others
