PRODUCT,CurrVol,CurrPrice,CurrProfit
0018-6707-860,2,43.41,0.306265837
0018-6716-880,1,415.19,0.179508177
0018-6745-000,10,517.499,0.708967554
0018-6753-860,98,11.96642857,0.819205089
0018-6793-820,10,6.9,0.619565217
0018-7235-860,14,22.86214286,0.864935795
0018-7235-870,10,5.857,0.477377497
0018-7332-870,54,12.63259259,0.542805207
0018-7365-868,45,103.1588889,0.212257251
0018-7418-260,1,332.61,0.08523496
0018-7423-050,6,64.81166667,0.144907038
0018-7480-600,3,2397.98,0.51959844
0018-7531-860,120,1.468833333,0.642743674
0018-7585-600,2,748.66,0.381040793
0018-7825-888,40,4.9445,0.544797249
0018-7826-888,420,7.683642857,0.533907838
0018-7915-750,5,40.256,0.185959857
0018-8187-860,16,13.223125,0.754974713
0018-8196-860,2,13.49,0.671608599
0018-8216-860,6,13,0.544487179
0018-8218-860,6,8.781666667,0.277472006
0018-8317-800,1,173.7,0.251007484
0018-8332-860,6,12.34333333,0.536997029
0018-8533-000,6,172.835,0.278329042
0018-8533-020,8,383.16875,0.31027452
0018-8534-000,5,153.486,0.238536414
0019-0258-300,10,3.62,0.864088398
0019-0359-030,6,0.413333333,0.258064516
0019-0967-300,10,2.36,0.925847458
0019-1027-300,6,2.383333333,0.702797203
0019-1144-300,4,9.08,0.690528634
0019-1689-300,130,1.692076923,0.922080284
0019-1694-300,140,2.158214286,0.937911633
0019-1869-300,8,6.20375,0.654442877
0019-2507-840,20,0.652,0.726993865
0019-5325-050,12,2.075833333,0.847049378
0019-5565-300,10,4.664,0.758147513
0019-6093-300,10,1.46,0.85
0019-6095-300,14,1.069285714,0.751503006
0019-6097-300,20,1.809,0.830845771
0019-6110-300,60,1.9125,0.677037037
0019-6208-300,2,19.02,0.661934805
0019-6471-300,10,8.935,0.65965305
0019-6551-300,60,11.1535,0.300503579
0019-6617-300,1,19.45,0.448329049
0019-6903-300,26,1.802307692,0.745411865
0019-9095-300,20,0.731,0.892612859
0019-9099-300,20,0.731,0.940492476
0019-9125-300,15,1.004666667,0.869276709
0019-9128-300,100,2.03,0.84773399
0021-3134-700,32,27.2671875,0.885381927
0021-3268-200,6,154.4233333,0.632687202
0021-3272-790,32,39.0875,0.586976335
0021-3997-200,14,93.28428571,0.532948437
0021-4026-200,1,245.06,0.628825594
0021-4027-200,1,270.41,0.573388558
0021-4036-200,24,113.8566667,0.643363732
0021-4037-200,14,144.8671429,0.6992466
0021-4038-200,20,136.0365,0.680254932
0021-4039-200,1,277.92,0.783678756
0021-4501-790,30,51.128,0.601359985
0021-4549-790,81,39.15938272,0.648322304
0021-4553-790,30,50.851,0.597818463
0024-5533-000,22,22.40909091,0.438965517
0024-5939-000,10,7.367,0.952355097
0026-0306-300,1,2.44,0.909836066
0026-0429-300,50,1.32,0.966818182
0026-0773-408,343.3,15.03212933,0.663474488
0026-0806-840,320,3.78159375,0.907991835
0026-0810-300,90,1.636222222,0.945674318
0026-0854-890,1,87.06,0.523087526
0026-0862-300,11,15.95272727,0.799521313
